"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Elmod1",4.5964475775288e-84,1.30533997841298,0.623,0.171,7.79419615721559e-80,"0","Elmod1"
"Id1",1.66361641206826e-67,1.13214639498574,0.993,0.847,2.82099434994415e-63,"0","Id1"
"Lgals7",9.55284765607856e-67,1.62676474158556,0.846,0.452,1.61987637704124e-62,"0","Lgals7"
"Ly6a",9.40178679624811e-66,1.16306473942708,0.993,0.939,1.59426098703979e-61,"0","Ly6a"
"Mllt3",2.14414806902492e-62,0.949665297388653,0.976,0.808,3.63583188064556e-58,"0","Mllt3"
"Cryab",4.44174229546736e-61,1.49390000328519,1,0.934,7.53186241042401e-57,"0","Cryab"
"2200002D01Rik",1.29011858780618e-58,0.728143985238649,0.995,0.917,2.18765408934295e-54,"0","2200002D01Rik"
"Mal",1.16187391712327e-56,1.38314137399284,0.718,0.325,1.97018960126593e-52,"0","Mal"
"Ptms",6.72684459909027e-55,0.624521312059846,1,0.997,1.14067103866774e-50,"0","Ptms"
"Cldn3",7.74136965781308e-55,0.738851739910482,0.374,0.076,1.31270405287536e-50,"0","Cldn3"
"Lgals3",5.8103204525824e-54,0.913683035993283,0.998,0.992,9.85256039144397e-50,"0","Lgals3"
"Cd24a",6.83841928858911e-50,1.02100222613388,0.962,0.757,1.15959075876605e-45,"0","Cd24a"
"Anxa2",8.22248897749652e-50,0.642298227362373,1,0.999,1.39428745591409e-45,"0","Anxa2"
"Podxl",2.90364771605954e-49,0.865719624447067,0.69,0.351,4.92371543212216e-45,"0","Podxl"
"Cxadr",4.63810040686313e-49,0.728805532252931,0.68,0.311,7.86482685991781e-45,"0","Cxadr"
"Rgs2",1.93385206395699e-48,1.50797282204436,0.713,0.421,3.27923294485187e-44,"0","Rgs2"
"Dsp",1.63123360817695e-47,0.834748761636848,0.502,0.167,2.76608282938565e-43,"0","Dsp"
"Lap3",2.20093529460131e-47,0.572629089131592,1,0.992,3.73212597905544e-43,"0","Lap3"
"Spint2",3.05359036991474e-47,0.567283843799693,0.616,0.229,5.17797319026443e-43,"0","Spint2"
"Sap30",3.47018261730324e-47,0.942064830917873,0.924,0.753,5.8843886641611e-43,"0","Sap30"
"Cobl",8.43876147778961e-47,0.881826348112863,0.929,0.704,1.43096078378878e-42,"0","Cobl"
"Cd9",3.93079076626455e-45,0.588634185202835,0.993,0.979,6.6654419023548e-41,"0","Cd9"
"Lgr6",1.38849046808458e-44,0.633670739893852,0.329,0.072,2.35446328673102e-40,"0","Lgr6"
"Dusp14",2.45586425637652e-44,0.946652810109435,0.962,0.779,4.16440901953766e-40,"0","Dusp14"
"Map1b",4.3191092910435e-42,0.75907528122392,0.974,0.856,7.32391362482246e-38,"0","Map1b"
"Lrpap1",1.33017038422216e-41,0.638261114485447,0.953,0.826,2.25556992052551e-37,"0","Lrpap1"
"Ociad2",1.53195440829583e-40,0.821609657391281,0.95,0.762,2.59773509014723e-36,"0","Ociad2"
"Ctnnbip1",1.14355606701214e-39,0.61903304532049,0.995,0.926,1.93912802283248e-35,"0","Ctnnbip1"
"Tubb2b",3.09832273528031e-39,0.508648132395876,0.929,0.667,5.25382586221482e-35,"0","Tubb2b"
