"ReprgrammingCluster","MohammedCellType","SharedGene"
"0","E3.5","Cd9"
"0","E3.5","Ckb"
"0","E3.5","Isyna1"
"0","E3.5","AA467197"
"0","E3.5","Jam2"
"0","E3.5","Gch1"
"0","E3.5","Gsto1"
"0","E3.5","Aqp3"
"0","E3.5","Mras"
"0","E3.5","Prr13"
"0","E3.5","Pmm1"
"0","E3.5","Tmbim1"
"0","E3.5","Socs3"
"0","E3.5","Arid5b"
"0","E3.5","Zfp36l1"
"0","E4.5 PrE","Lrpap1"
"0","E4.5 PrE","Hspb1"
"0","E4.5 PrE","2200002D01Rik"
"0","E4.5 PrE","Anxa2"
"0","E4.5 Epiblast","Pdgfa"
"0","E4.5 Epiblast","F2rl1"
"0","E4.5 Epiblast","Jup"
"0","E4.5 Epiblast","1190005I06Rik"
"0","E4.5 Epiblast","Cobl"
"0","E4.5 Epiblast","Tubb2b"
"0","E5.5 Epiblast","Ptprf"
"0","E6.5 Epiblast1","Msi2"
"0","E6.5 Epiblast2","none"
"0","E6.5 Primitive streak","Ccnd2"
"0","E6.5 Primitive streak","Rbp1"
"0","E6.5 Primitive streak","Ptms"
"0","E6.5 Primitive streak","Mtch1"
"0","E6.5 Primitive streak","Cd24a"
"0","E6.5 Primitive streak","Meis2"
"0","E6.5 Visceral endoderm","Aqp11"
"0","E6.5 Visceral endoderm","Ezr"
"0","E6.5 Visceral endoderm","Podxl"
"0","E6.5 Visceral endoderm","Slc22a23"
"0","E6.5 Visceral endoderm","Dsp"
"0","E6.5 Visceral endoderm","Id1"
"0","E6.5 Visceral endoderm","Ak3"
"0","E6.5 Visceral endoderm","Id2"
"0","E6.5 Visceral endoderm","Papss1"
"0","E6.5 Visceral endoderm","S100a1"
"0","E6.5 Visceral endoderm","Cryz"
"0","E6.5 Visceral endoderm","S100a10"
"1","E3.5","Etfa"
"1","E3.5","Tfcp2l1"
"1","E3.5","Acadl"
"1","E3.5","Upp1"
"1","E3.5","Echdc2"
"1","E3.5","Pros1"
"1","E3.5","Baz1a"
"1","E3.5","Smpdl3b"
"1","E3.5","Ipo7"
"1","E4.5 PrE","Ppm1l"
"1","E4.5 PrE","B4galt6"
"1","E4.5 Epiblast","none"
"1","E5.5 Epiblast","none"
"1","E6.5 Epiblast1","Dpy19l1"
"1","E6.5 Epiblast2","Ldha"
"1","E6.5 Primitive streak","Nt5dc2"
"1","E6.5 Primitive streak","Gpx8"
"1","E6.5 Visceral endoderm","Slc16a1"
"1","E6.5 Visceral endoderm","Plscr1"
"1","E6.5 Visceral endoderm","Ddc"
"1","E6.5 Visceral endoderm","Acot1"
"1","E6.5 Visceral endoderm","Sfxn1"
"2","E3.5","Sdc4"
"2","E3.5","Gjb3"
"2","E3.5","Slc43a3"
"2","E3.5","Ostf1"
"2","E3.5","Dap"
"2","E3.5","Klf4"
"2","E3.5","Me1"
"2","E3.5","Nuak1"
"2","E3.5","Serpinb6a"
"2","E3.5","Myo1b"
"2","E4.5 PrE","Sparc"
"2","E4.5 PrE","Serpinh1"
"2","E4.5 PrE","Ckap4"
"2","E4.5 PrE","Col4a1"
"2","E4.5 PrE","Col4a2"
"2","E4.5 PrE","Pth1r"
"2","E4.5 PrE","Hspg2"
"2","E4.5 PrE","F2r"
"2","E4.5 PrE","Lmna"
"2","E4.5 PrE","Ddah1"
"2","E4.5 PrE","Txndc5"
"2","E4.5 Epiblast","none"
"2","E5.5 Epiblast","none"
"2","E6.5 Epiblast1","none"
"2","E6.5 Epiblast2","Myh10"
"2","E6.5 Primitive streak","Lhfp"
"2","E6.5 Primitive streak","Cnn2"
"2","E6.5 Primitive streak","Fn1"
"2","E6.5 Primitive streak","Slit3"
"2","E6.5 Primitive streak","Zyx"
"2","E6.5 Primitive streak","Ergic1"
"2","E6.5 Primitive streak","Crabp1"
"2","E6.5 Primitive streak","Pbx1"
"2","E6.5 Primitive streak","Dbn1"
"2","E6.5 Primitive streak","Capn2"
"2","E6.5 Primitive streak","Gpx8"
"2","E6.5 Visceral endoderm","Wls"
"2","E6.5 Visceral endoderm","Ctsc"
"2","E6.5 Visceral endoderm","Lxn"
"2","E6.5 Visceral endoderm","Nid2"
"2","E6.5 Visceral endoderm","Iqgap2"
"2","E6.5 Visceral endoderm","S100a16"
"2","E6.5 Visceral endoderm","Lpar1"
"2","E6.5 Visceral endoderm","Loxl2"
"2","E6.5 Visceral endoderm","Bicc1"
"2","E6.5 Visceral endoderm","Ddah2"
"2","E6.5 Visceral endoderm","Rgl1"
"2","E6.5 Visceral endoderm","Actn1"
"2","E6.5 Visceral endoderm","Phldb2"
"2","E6.5 Visceral endoderm","Ghr"
"3","E3.5","Nudt4"
"3","E3.5","Slc43a3"
"3","E3.5","Ostf1"
"3","E3.5","Dap"
"3","E3.5","Arpc1b"
"3","E3.5","Klf2"
"3","E3.5","Glrx"
"3","E3.5","Ccnd3"
"3","E3.5","Mfge8"
"3","E3.5","Tm7sf3"
"3","E3.5","Gaa"
"3","E3.5","Nuak1"
"3","E3.5","Plod1"
"3","E3.5","Slc38a4"
"3","E3.5","Rnf213"
"3","E3.5","Pdia5"
"3","E3.5","Serpinb6a"
"3","E3.5","Cdc42ep3"
"3","E3.5","Rnf19b"
"3","E3.5","Ddr2"
"3","E4.5 PrE","Sparc"
"3","E4.5 PrE","Serpinh1"
"3","E4.5 PrE","Lamb1"
"3","E4.5 PrE","Ckap4"
"3","E4.5 PrE","Col4a1"
"3","E4.5 PrE","Col4a2"
"3","E4.5 PrE","Flrt3"
"3","E4.5 PrE","Plod2"
"3","E4.5 PrE","Rcn3"
"3","E4.5 PrE","Tfpi"
"3","E4.5 PrE","Pth1r"
"3","E4.5 PrE","Kdelr3"
"3","E4.5 PrE","P4ha1"
"3","E4.5 PrE","Pdgfra"
"3","E4.5 PrE","Glipr2"
"3","E4.5 PrE","Runx1"
"3","E4.5 PrE","Dnajc3"
"3","E4.5 PrE","Xbp1"
"3","E4.5 PrE","Hspg2"
"3","E4.5 PrE","Nrg1"
"3","E4.5 PrE","Eml1"
"3","E4.5 PrE","Dram1"
"3","E4.5 PrE","Creb3l2"
"3","E4.5 PrE","F2r"
"3","E4.5 PrE","P4ha2"
"3","E4.5 PrE","Fkbp9"
"3","E4.5 PrE","Tspan9"
"3","E4.5 PrE","Nagk"
"3","E4.5 PrE","Gas6"
"3","E4.5 PrE","Klf6"
"3","E4.5 PrE","Ddah1"
"3","E4.5 PrE","Crtap"
"3","E4.5 PrE","Ppic"
"3","E4.5 PrE","Prkar2a"
"3","E4.5 PrE","Fkbp11"
"3","E4.5 PrE","Txndc5"
"3","E4.5 PrE","Gfpt1"
"3","E4.5 PrE","Pard6g"
"3","E4.5 Epiblast","Tns3"
"3","E4.5 Epiblast","Med13l"
"3","E4.5 Epiblast","Ttc39b"
"3","E4.5 Epiblast","Adam19"
"3","E4.5 Epiblast","Bnc2"
"3","E5.5 Epiblast","Cthrc1"
"3","E5.5 Epiblast","Ptk7"
"3","E5.5 Epiblast","Col18a1"
"3","E5.5 Epiblast","Tmem132a"
"3","E6.5 Epiblast1","Sox4"
"3","E6.5 Epiblast2","Aldh1a3"
"3","E6.5 Primitive streak","Nt5dc2"
"3","E6.5 Primitive streak","Rbms1"
"3","E6.5 Primitive streak","Fst"
"3","E6.5 Primitive streak","Basp1"
"3","E6.5 Primitive streak","Efemp2"
"3","E6.5 Primitive streak","Lhfp"
"3","E6.5 Primitive streak","Gas1"
"3","E6.5 Primitive streak","Snai1"
"3","E6.5 Primitive streak","Cnn2"
"3","E6.5 Primitive streak","Cdh2"
"3","E6.5 Primitive streak","Fn1"
"3","E6.5 Primitive streak","Rnf26"
"3","E6.5 Primitive streak","Yap1"
"3","E6.5 Primitive streak","Slit3"
"3","E6.5 Primitive streak","Zyx"
"3","E6.5 Primitive streak","Ergic1"
"3","E6.5 Primitive streak","Pkdcc"
"3","E6.5 Primitive streak","Phldb1"
"3","E6.5 Primitive streak","Dbn1"
"3","E6.5 Primitive streak","Capn2"
"3","E6.5 Primitive streak","Gli3"
"3","E6.5 Primitive streak","Rftn1"
"3","E6.5 Primitive streak","Trim35"
"3","E6.5 Primitive streak","Sh3pxd2a"
"3","E6.5 Primitive streak","Gpx8"
"3","E6.5 Primitive streak","Ipo9"
"3","E6.5 Primitive streak","Mfap2"
"3","E6.5 Visceral endoderm","Emb"
"3","E6.5 Visceral endoderm","Gpx3"
"3","E6.5 Visceral endoderm","H19"
"3","E6.5 Visceral endoderm","Vkorc1"
"3","E6.5 Visceral endoderm","Rnase4"
"3","E6.5 Visceral endoderm","Oat"
"3","E6.5 Visceral endoderm","Tnfrsf12a"
"3","E6.5 Visceral endoderm","Tmem150a"
"3","E6.5 Visceral endoderm","Igf2"
"3","E6.5 Visceral endoderm","Wls"
"3","E6.5 Visceral endoderm","Ly75"
"3","E6.5 Visceral endoderm","Fbln1"
"3","E6.5 Visceral endoderm","Gnb4"
"3","E6.5 Visceral endoderm","Sh3bp5"
"3","E6.5 Visceral endoderm","Igfbp4"
"3","E6.5 Visceral endoderm","Taok3"
"3","E6.5 Visceral endoderm","Sh3bgrl2"
"3","E6.5 Visceral endoderm","Lpar1"
"3","E6.5 Visceral endoderm","Loxl2"
"3","E6.5 Visceral endoderm","Bicc1"
"3","E6.5 Visceral endoderm","Degs1"
"3","E6.5 Visceral endoderm","Stat5b"
"3","E6.5 Visceral endoderm","Dlg5"
"3","E6.5 Visceral endoderm","Cxxc5"
"3","E6.5 Visceral endoderm","Actn1"
"3","E6.5 Visceral endoderm","Cobll1"
"3","E6.5 Visceral endoderm","Vegfa"
"3","E6.5 Visceral endoderm","Slc35b4"
"3","E6.5 Visceral endoderm","Sel1l"
