"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Col1a1",1.4900919175831e-109,2.09087478940071,1,0.906,2.46297293057311e-105,"R","Col1a1"
"Fbln2",9.23078687393198e-109,1.92435336706995,0.966,0.617,1.52575676239222e-104,"R","Fbln2"
"Bgn",3.86599522207838e-108,2.21169742336528,0.915,0.454,6.39010350257335e-104,"R","Bgn"
"Loxl1",9.47769351343448e-104,1.52528929595611,0.785,0.22,1.56656796083558e-99,"R","Loxl1"
"Serpinf1",9.75151855257903e-104,1.89325289141231,0.844,0.295,1.61182850155579e-99,"R","Serpinf1"
"Col1a2",5.4808295532053e-102,1.92839228370487,1,0.885,9.05926316849304e-98,"R","Col1a2"
"Cdh11",1.17716417655514e-100,1.44576023619073,0.857,0.296,1.945734667428e-96,"R","Cdh11"
"Col5a1",2.18186571149941e-96,1.80473751393169,0.91,0.425,3.60640583453738e-92,"R","Col5a1"
"Dcn",4.83209789057491e-95,2.01886545430365,0.645,0.125,7.98697460333126e-91,"R","Dcn"
"Lox",3.81632796302175e-94,2.00329939193285,0.87,0.398,6.30800849007866e-90,"R","Lox"
"3300005D01Rik",2.26562941394772e-91,1.19345583895546,0.679,0.148,3.74485885831418e-87,"R","3300005D01Rik"
"Zyx",6.90891253777805e-91,1.49208730843043,0.987,0.87,1.14197415336933e-86,"R","Zyx"
"Timp1",3.86013654595298e-88,1.31697065167899,1,0.991,6.38041969680568e-84,"R","Timp1"
"Rhoj",1.37250226399473e-86,1.31863602103514,0.926,0.504,2.26860899215688e-82,"R","Rhoj"
"Ckap4",2.41285847289795e-86,1.01546664908133,1,0.946,3.98821376985302e-82,"R","Ckap4"
"Col3a1",1.35467169142122e-84,2.19795272873132,0.931,0.598,2.23913683875014e-80,"R","Col3a1"
"Fbn1",1.38483757865665e-84,1.31795651502948,0.997,0.828,2.28899803376157e-80,"R","Fbn1"
"Nid1",1.79097313883813e-82,1.11720843719506,0.936,0.486,2.96029950118555e-78,"R","Nid1"
"Prss23",3.78376951875636e-82,1.55898598079058,0.973,0.824,6.2541926375524e-78,"R","Prss23"
