"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"2200002D01Rik",4.52531303248102e-254,1.32617736783125,0.992,0.77,8.39671833176853e-250,"1","2200002D01Rik"
"Lgals7",2.03250723008182e-199,2.13103700475221,0.742,0.288,3.77131716541682e-195,"1","Lgals7"
"Cryab",2.76906084322048e-199,1.93705918808286,0.998,0.836,5.1379923945956e-195,"1","Cryab"
"Elmod1",3.33954576253866e-199,1.27530514391426,0.491,0.092,6.19652716239048e-195,"1","Elmod1"
"Ly6a",6.77469520536934e-195,1.79164100318351,0.985,0.911,1.25704469535628e-190,"1","Ly6a"
"Cobl",6.86769565123902e-192,1.42894324465562,0.83,0.398,1.2743009280874e-187,"1","Cobl"
"Cd9",4.47664659020536e-191,1.01236524858894,0.997,0.919,8.30641774812604e-187,"1","Cd9"
"Dusp14",2.40153885689746e-180,1.43439835370462,0.889,0.534,4.45605534897323e-176,"1","Dusp14"
"Id1",3.82722154798773e-176,1.3794582477606,0.966,0.768,7.10140958229123e-172,"1","Id1"
"Spint2",1.27944514145159e-171,0.772652514643941,0.535,0.124,2.37401045996343e-167,"1","Spint2"
"Mal",1.4958984655861e-171,1.8508860332234,0.579,0.165,2.77563960289501e-167,"1","Mal"
"Mllt3",2.74196036823278e-171,1.12806045975244,0.905,0.595,5.08770746325593e-167,"1","Mllt3"
"Ccnd2",4.71629716411676e-170,1.37149638790217,0.994,0.876,8.75108938801865e-166,"1","Ccnd2"
"Cd81",3.39744968284434e-163,0.869515734003373,1,0.948,6.30396788651767e-159,"1","Cd81"
"Avpi1",6.7384656047977e-162,1.01601203323696,0.995,0.874,1.25032229297021e-157,"1","Avpi1"
"Neat1",8.07266528740517e-162,1.66839310587736,0.974,0.877,1.49788304407803e-157,"1","Neat1"
"Anxa2",1.58444383320165e-161,0.905110972691785,1,0.996,2.93993553250566e-157,"1","Anxa2"
"Mgst1",1.93282588336151e-157,1.22205263688551,0.974,0.882,3.58635842657728e-153,"1","Mgst1"
"Ptms",1.28414306667763e-154,0.709079529604124,1,0.995,2.38272746022034e-150,"1","Ptms"
"Gsta4",3.09304298469927e-153,1.38048502353081,0.949,0.712,5.7391412581095e-149,"1","Gsta4"
"Ociad2",2.53942730744696e-152,1.13724495201083,0.879,0.565,4.71190736896783e-148,"1","Ociad2"
"Pmm1",8.0910745371038e-149,1.03724953947449,0.984,0.875,1.50129888035961e-144,"1","Pmm1"
"L1td1",3.08238693964321e-148,1.07778948545059,0.585,0.18,5.71936896650797e-144,"1","L1td1"
"Podxl",2.30248539536832e-147,0.897406005562073,0.572,0.186,4.27226165110591e-143,"1","Podxl"
"S100a6",5.98742090102918e-143,0.936135326106876,1,0.996,1.11096594818596e-138,"1","S100a6"
"Hspb1",1.2195548012917e-142,0.875195699705578,0.932,0.653,2.26288393379674e-138,"1","Hspb1"
"Lap3",1.09714640750002e-141,0.798808922539921,0.995,0.969,2.03575515911628e-137,"1","Lap3"
"Gna14",1.60520286707674e-138,1.06909362360303,0.683,0.286,2.97845391986089e-134,"1","Gna14"
"Dsp",7.21322316130481e-138,0.879129142773251,0.415,0.089,1.33841355758011e-133,"1","Dsp"
"Itgb4",1.76635479023655e-136,1.01193221728514,0.612,0.226,3.27747131328392e-132,"1","Itgb4"
"Hmgn3",3.15514914177018e-135,0.825453688413454,0.983,0.808,5.85437923255457e-131,"1","Hmgn3"
"Ly6c1",5.96872482943693e-133,1.73137485182925,0.741,0.406,1.10749689210202e-128,"1","Ly6c1"
"Tmem176a",7.25314791230837e-129,1.24805758990069,0.813,0.526,1.34582159512882e-124,"1","Tmem176a"
"Camk2d",1.34183398398163e-128,0.826984039823735,0.966,0.883,2.48977295727791e-124,"1","Camk2d"
"Msln",4.91835902556783e-126,1.75521530249249,0.526,0.182,9.12601517194111e-122,"1","Msln"
"Hspb8",4.75923744126161e-125,0.878908382128435,0.858,0.576,8.83076507226092e-121,"1","Hspb8"
"Ak3",6.19961531208973e-124,0.897480172533839,0.802,0.49,1.15033862115825e-119,"1","Ak3"
"Syne2",1.77816892103905e-123,0.967133413805667,0.839,0.525,3.29939243298796e-119,"1","Syne2"
"Prr13",8.20924634054227e-122,0.791130915130716,0.991,0.932,1.52322565848762e-117,"1","Prr13"
"Pam",1.19549206901357e-121,1.3864809232935,0.898,0.712,2.21823553405468e-117,"1","Pam"
"Arid5b",1.74376351619923e-121,0.889566219088215,0.99,0.924,3.23555320430766e-117,"1","Arid5b"
"Usp9x",4.65316588746849e-121,0.910546967379248,0.986,0.951,8.63394930419779e-117,"1","Usp9x"
"Irak3",2.34790396518466e-120,0.896635967364269,0.83,0.524,4.35653580740014e-116,"1","Irak3"
"Egln3",9.91362279139903e-120,0.779396533139296,0.498,0.16,1.83947270894409e-115,"1","Egln3"
"Ano1",8.18640778676509e-119,0.835017038710117,0.494,0.161,1.51898796483426e-114,"1","Ano1"
"Urah",6.95093428533131e-118,1.14849885312012,0.635,0.285,1.28974585664323e-113,"1","Urah"
"Cldn3",4.33216568925917e-116,0.612986618032745,0.286,0.044,8.03833343642038e-112,"1","Cldn3"
"Tmem176b",1.0732938680424e-114,1.07384853266983,0.871,0.628,1.99149677215268e-110,"1","Tmem176b"
"Cd109",5.19466654080104e-114,0.736958817317303,0.978,0.803,9.63870376645632e-110,"1","Cd109"
"Cxadr",8.50180173440257e-114,0.650255602747799,0.553,0.195,1.5775093118184e-109,"1","Cxadr"
"Papss1",1.05853899951088e-113,0.828828766563152,0.918,0.738,1.96411911359243e-109,"1","Papss1"
"AA467197",1.81206025666424e-113,0.988909342825531,0.269,0.04,3.36227780624049e-109,"1","AA467197"
"Ebp",1.88352809123305e-111,0.7028957508217,0.981,0.9,3.49488637328293e-107,"1","Ebp"
"Malat1",3.10618052583282e-111,1.29088821018564,1,0.998,5.7635179656828e-107,"1","Malat1"
"Flnb",2.88808288781717e-109,0.750291117753444,0.982,0.83,5.35883779834475e-105,"1","Flnb"
"Perp",1.09142177697522e-107,0.924111134768737,0.655,0.282,2.02513310717751e-103,"1","Perp"
"H3f3a",1.3733324940862e-107,0.358434868960246,1,1,2.54821844277694e-103,"1","H3f3a"
"Cavin3",5.9385971561866e-107,0.735760838320922,1,0.88,1.10190670233042e-102,"1","Cavin3"
"Rock2",7.66359174413409e-107,0.752805410928488,0.999,0.965,1.42197944812408e-102,"1","Rock2"
"Ctnnal1",9.85584327735313e-107,0.797201946545676,0.507,0.181,1.82875172011287e-102,"1","Ctnnal1"
"Cebpd",6.03044555753657e-106,1.24502181789065,0.942,0.836,1.11894917320091e-101,"1","Cebpd"
"Tmem134",1.12391551219228e-103,0.632213134130179,0.99,0.945,2.08542523287278e-99,"1","Tmem134"
"Jup",1.06590441950406e-102,0.687285876691993,0.695,0.353,1.97778565038978e-98,"1","Jup"
"Dpysl3",2.95515682078525e-102,0.871603564439669,0.937,0.75,5.48329348096703e-98,"1","Dpysl3"
"Cd24a",1.99027645406483e-101,0.949078653135045,0.891,0.581,3.69295796051729e-97,"1","Cd24a"
"Mras",2.44621376903071e-101,0.885788563774204,0.903,0.681,4.53894964843648e-97,"1","Mras"
"Zbtb20",2.44108619100062e-100,0.956462235985441,0.856,0.639,4.52943542740166e-96,"1","Zbtb20"
"S100a10",4.67046668537644e-99,0.549585248339378,1,0.998,8.66605093471598e-95,"1","S100a10"
"Lgals3",2.0686425232906e-98,0.772967696937126,1,0.969,3.83836620196571e-94,"1","Lgals3"
"Epb41l4a",2.53889429617084e-98,0.587605010493984,0.48,0.165,4.710918366545e-94,"1","Epb41l4a"
"Cib2",7.94195945448094e-97,0.571245301061699,0.419,0.13,1.47363057677894e-92,"1","Cib2"
"Lgr6",9.7352548253367e-97,0.496342897925979,0.256,0.043,1.80637653284122e-92,"1","Lgr6"
"Sbspon",1.61294631881721e-96,1.05011112687902,0.573,0.251,2.99282189456533e-92,"1","Sbspon"
"Lrrfip1",3.25812121973264e-95,0.739522302613392,0.979,0.923,6.04544392321391e-91,"1","Lrrfip1"
