"ReprgrammingCluster","MohammedCellType","SharedGene"
"1","E3.5","Cd9"
"1","E3.5","Ndfip1"
"1","E3.5","Sdc4"
"1","E3.5","Tmem59"
"1","E3.5","Ckb"
"1","E3.5","Isyna1"
"1","E3.5","Tfcp2l1"
"1","E3.5","AA467197"
"1","E3.5","Acadl"
"1","E3.5","1500009L16Rik"
"1","E3.5","Jam2"
"1","E3.5","Upp1"
"1","E3.5","Map1lc3a"
"1","E3.5","Fbxo6"
"1","E3.5","Gch1"
"1","E3.5","Gsto1"
"1","E3.5","Aqp3"
"1","E3.5","Mras"
"1","E3.5","Prr13"
"1","E3.5","Pmm1"
"1","E3.5","Agtrap"
"1","E3.5","Tmbim1"
"1","E3.5","Frrs1"
"1","E3.5","Gss"
"1","E3.5","Socs3"
"1","E3.5","Rnd3"
"1","E3.5","Tuba4a"
"1","E3.5","Gdf3"
"1","E3.5","Arid5b"
"1","E3.5","Aebp2"
"1","E3.5","Zfp36l1"
"1","E4.5 PrE","Htra1"
"1","E4.5 PrE","Lrpap1"
"1","E4.5 PrE","Mgst3"
"1","E4.5 PrE","Hspb1"
"1","E4.5 PrE","Eps8"
"1","E4.5 PrE","2200002D01Rik"
"1","E4.5 PrE","Ppm1l"
"1","E4.5 PrE","Mpzl2"
"1","E4.5 PrE","Anxa2"
"1","E4.5 PrE","Cyp51"
"1","E4.5 Epiblast","Pfkp"
"1","E4.5 Epiblast","Pdgfa"
"1","E4.5 Epiblast","Tle4"
"1","E4.5 Epiblast","Sox2"
"1","E4.5 Epiblast","Nmnat2"
"1","E4.5 Epiblast","Cth"
"1","E4.5 Epiblast","Jup"
"1","E4.5 Epiblast","1190005I06Rik"
"1","E4.5 Epiblast","Cobl"
"1","E5.5 Epiblast","Ptprf"
"1","E6.5 Epiblast1","Msi2"
"1","E6.5 Epiblast2","Wfdc2"
"1","E6.5 Primitive streak","Ccnd2"
"1","E6.5 Primitive streak","Fxyd6"
"1","E6.5 Primitive streak","Ifitm1"
"1","E6.5 Primitive streak","Rbp1"
"1","E6.5 Primitive streak","Ptms"
"1","E6.5 Primitive streak","Grb10"
"1","E6.5 Primitive streak","Nxn"
"1","E6.5 Primitive streak","Cd24a"
"1","E6.5 Primitive streak","Rspo3"
"1","E6.5 Visceral endoderm","Aqp11"
